"year","observed","ef_kg_per_mwh","two_period_hat","post_median_hat","pollutant","group","break_year"
2015,TRUE,0.384314513293726,0.440966543603742,0.384314513293726,"SOx","Anthracite",2022
2016,TRUE,0.452181327294834,0.494578576530823,0.452181327294834,"SOx","Anthracite",2022
2017,TRUE,0.609163612050145,0.548190609457905,0.609163612050145,"SOx","Anthracite",2022
2018,TRUE,0.660287857686372,0.601802642384986,0.660287857686372,"SOx","Anthracite",2022
2019,TRUE,0.73009156880345,0.655414675312067,0.73009156880345,"SOx","Anthracite",2022
2020,TRUE,0.692223693023316,0.709026708239149,0.692223693023316,"SOx","Anthracite",2022
2021,TRUE,0.684355924543061,0.76263874116623,0.684355924543061,"SOx","Anthracite",2022
2022,TRUE,0.675313442837286,0.466385943088306,0.675313442837286,"SOx","Anthracite",2022
2023,TRUE,0.594295483013021,0.466385943088306,0.594295483013021,"SOx","Anthracite",2022
2024,TRUE,0.12954890341461,0.466385943088306,0.12954890341461,"SOx","Anthracite",2022
2025,FALSE,,0.466385943088306,0.594295483013021,"SOx","Anthracite",2022
2026,FALSE,,0.466385943088306,0.594295483013021,"SOx","Anthracite",2022
2027,FALSE,,0.466385943088306,0.594295483013021,"SOx","Anthracite",2022
2028,FALSE,,0.466385943088306,0.594295483013021,"SOx","Anthracite",2022
2029,FALSE,,0.466385943088306,0.594295483013021,"SOx","Anthracite",2022
2030,FALSE,,0.466385943088306,0.594295483013021,"SOx","Anthracite",2022
2031,FALSE,,0.466385943088306,0.594295483013021,"SOx","Anthracite",2022
2032,FALSE,,0.466385943088306,0.594295483013021,"SOx","Anthracite",2022
2033,FALSE,,0.466385943088306,0.594295483013021,"SOx","Anthracite",2022
2034,FALSE,,0.466385943088306,0.594295483013021,"SOx","Anthracite",2022
2035,FALSE,,0.466385943088306,0.594295483013021,"SOx","Anthracite",2022
2036,FALSE,,0.466385943088306,0.594295483013021,"SOx","Anthracite",2022
2037,FALSE,,0.466385943088306,0.594295483013021,"SOx","Anthracite",2022
2038,FALSE,,0.466385943088306,0.594295483013021,"SOx","Anthracite",2022
2039,FALSE,,0.466385943088306,0.594295483013021,"SOx","Anthracite",2022
2040,FALSE,,0.466385943088306,0.594295483013021,"SOx","Anthracite",2022
2041,FALSE,,0.466385943088306,0.594295483013021,"SOx","Anthracite",2022
2042,FALSE,,0.466385943088306,0.594295483013021,"SOx","Anthracite",2022
2043,FALSE,,0.466385943088306,0.594295483013021,"SOx","Anthracite",2022
2044,FALSE,,0.466385943088306,0.594295483013021,"SOx","Anthracite",2022
2045,FALSE,,0.466385943088306,0.594295483013021,"SOx","Anthracite",2022
2046,FALSE,,0.466385943088306,0.594295483013021,"SOx","Anthracite",2022
2047,FALSE,,0.466385943088306,0.594295483013021,"SOx","Anthracite",2022
2048,FALSE,,0.466385943088306,0.594295483013021,"SOx","Anthracite",2022
2049,FALSE,,0.466385943088306,0.594295483013021,"SOx","Anthracite",2022
2050,FALSE,,0.466385943088306,0.594295483013021,"SOx","Anthracite",2022
