"fuel","fuel_label","pollutant","plant_years","ef_n","mean","sd","min","p25","median","p75","max","total_generation_mwh","total_emissions_kg","aggregate_ef_kg_per_mwh"
"B-C | LNG | 중유","B-C | LNG | Heavy oil","NOx",8,0,,,,,,,,0,1517427,
"B-C | LNG | 중유","B-C | LNG | Heavy oil","SOx",8,0,,,,,,,,0,404271,
"B-C | LNG | 중유","B-C | LNG | Heavy oil","TSP",8,0,,,,,,,,0,55296,
"B-C | 중유","B-C | Heavy oil","NOx",8,0,,,,,,,,0,1153093,
"B-C | 중유","B-C | Heavy oil","SOx",8,0,,,,,,,,0,531293,
"B-C | 중유","B-C | Heavy oil","TSP",8,0,,,,,,,,0,19132,
"LNG","LNG","NOx",253,53,0.14098092317026,0.212873727993992,0,0.0566520454290532,0.0817997438087105,0.161099258571412,1.47021838257131,148983022.72105,43220668,0.290104652265814
"LNG","LNG","SOx",253,31,0.0825520745934491,0.39803875317851,0,0,0,0.00754620981659982,2.2210940688641,65812381.173799,2409389,0.0366099654354889
"LNG","LNG","TSP",253,31,0.0117590965378819,0.0328945615878345,0,0,0,0.00722290360587449,0.173422955427306,65812381.173799,463171,0.00703774869924318
"LNG | LSWR","LNG | LSWR","NOx",10,0,,,,,,,,0,24183,
"LNG | LSWR","LNG | LSWR","SOx",10,0,,,,,,,,0,0,
"LNG | LSWR","LNG | LSWR","TSP",10,0,,,,,,,,0,0,
"LNG | 경유 | 바이오중유 | 유류 | 중유","LNG | Diesel | Bio heavy oil | Oil | Heavy oil","NOx",1,0,,,,,,,,0,1361800,
"LNG | 경유 | 바이오중유 | 유류 | 중유","LNG | Diesel | Bio heavy oil | Oil | Heavy oil","SOx",1,0,,,,,,,,0,532500,
"LNG | 경유 | 바이오중유 | 유류 | 중유","LNG | Diesel | Bio heavy oil | Oil | Heavy oil","TSP",1,0,,,,,,,,0,0,
"LNG | 경유 | 바이오중유 | 중유","LNG | Diesel | Bio heavy oil | Heavy oil","NOx",2,0,,,,,,,,0,385638,
"LNG | 경유 | 바이오중유 | 중유","LNG | Diesel | Bio heavy oil | Heavy oil","SOx",2,0,,,,,,,,0,97564,
"LNG | 경유 | 바이오중유 | 중유","LNG | Diesel | Bio heavy oil | Heavy oil","TSP",2,0,,,,,,,,0,24631,
"LPG* | 중유","LPG* | Heavy oil","NOx",8,0,,,,,,,,0,746968,
"LPG* | 중유","LPG* | Heavy oil","SOx",8,0,,,,,,,,0,1260268,
